Sex,Year,Race,Hrwage
Total,2014,Total,13.14
Total,2014,White,13.57
Total,2014,Black or African American,11.88
Total,2014,Asian,14
Total,2014,Hispanic or Latino ethnicity,11.83
Total,2015,Total,13.44
Total,2015,White,13.87
Total,2015,Black or African American,12.06
Total,2015,Asian,14.19
Total,2015,Hispanic or Latino ethnicity,12.04
Total,2016,Total,14
Total,2016,White,14.24
Total,2016,Black or African American,12.49
Total,2016,Asian,14.79
Total,2016,Hispanic or Latino ethnicity,12.69
Total,2017,Total,14.63
Total,2017,White,14.89
Total,2017,Black or African American,12.9
Total,2017,Asian,15.06
Total,2017,Hispanic or Latino ethnicity,13.16
Total,2018,Total,14.99
Total,2018,White,15.16
Total,2018,Black or African American,13.64
Total,2018,Asian,15.24
Total,2018,Hispanic or Latino ethnicity,13.99
Total,2019,Total,15.35
Total,2019,White,15.85
Total,2019,Black or African American,14.66
Total,2019,Asian,16.13
Total,2019,Hispanic or Latino ethnicity,14.86
Total,2020,Total,16.36
Total,2020,White,16.78
Total,2020,Black or African American,15.17
Total,2020,Asian,17.25
Total,2020,Hispanic or Latino ethnicity,15.2
Total,2021,Total,17.02
Total,2021,White,17.22
Total,2021,Black or African American,15.81
Total,2021,Asian,17.89
Total,2021,Hispanic or Latino ethnicity,16.05
Total,2022,Total,18.12
Total,2022,White,18.23
Total,2022,Black or African American,17.11
Total,2022,Asian,19.43
Total,2022,Hispanic or Latino ethnicity,17.22
Total,2023,Total,19.24
Total,2023,White,19.78
Total,2023,Black or African American,18.1
Total,2023,Asian,20.12
Total,2023,Hispanic or Latino ethnicity,18.1
Total,2024,Total,20.03
Total,2024,White,20.12
Total,2024,Black or African American,19.06
Total,2024,Asian,21.15
Total,2024,Hispanic or Latino ethnicity,19.02
Women,2014,Total,12.18
Women,2014,White,12.38
Women,2014,Black or African American,11.57
Women,2014,Asian,13.23
Women,2014,Hispanic or Latino ethnicity,10.72
Women,2015,Total,12.56
Women,2015,White,12.82
Women,2015,Black or African American,11.7
Women,2015,Asian,13.8
Women,2015,Hispanic or Latino ethnicity,11.08
Women,2016,Total,13.01
Women,2016,White,13.2
Women,2016,Black or African American,12.09
Women,2016,Asian,14.07
Women,2016,Hispanic or Latino ethnicity,11.79
Women,2017,Total,13.56
Women,2017,White,13.87
Women,2017,Black or African American,12.55
Women,2017,Asian,14.23
Women,2017,Hispanic or Latino ethnicity,12.09
Women,2018,Total,14.06
Women,2018,White,14.27
Women,2018,Black or African American,13.02
Women,2018,Asian,14.95
Women,2018,Hispanic or Latino ethnicity,12.8
Women,2019,Total,14.85
Women,2019,White,14.93
Women,2019,Black or African American,14
Women,2019,Asian,15.29
Women,2019,Hispanic or Latino ethnicity,13.74
Women,2020,Total,15.22
Women,2020,White,15.31
Women,2020,Black or African American,14.95
Women,2020,Asian,16.56
Women,2020,Hispanic or Latino ethnicity,14.68
Women,2021,Total,16.02
Women,2021,White,16.11
Women,2021,Black or African American,15.22
Women,2021,Asian,16.84
Women,2021,Hispanic or Latino ethnicity,15.15
Women,2022,Total,17.18
Women,2022,White,17.21
Women,2022,Black or African American,16.83
Women,2022,Asian,18.23
Women,2022,Hispanic or Latino ethnicity,16.15
Women,2023,Total,18.11
Women,2023,White,18.16
Women,2023,Black or African American,17.7
Women,2023,Asian,19.85
Women,2023,Hispanic or Latino ethnicity,17.12
Women,2024,Total,19.2
Women,2024,White,19.34
Women,2024,Black or African American,18.79
Women,2024,Asian,20.18
Women,2024,Hispanic or Latino ethnicity,17.99
Men,2014,Total,14.39
Men,2014,White,14.86
Men,2014,Black or African American,12.21
Men,2014,Asian,14.66
Men,2014,Hispanic or Latino ethnicity,12.38
Men,2015,Total,14.67
Men,2015,White,14.93
Men,2015,Black or African American,12.66
Men,2015,Asian,14.87
Men,2015,Hispanic or Latino ethnicity,12.92
Men,2016,Total,14.96
Men,2016,White,15.13
Men,2016,Black or African American,13.06
Men,2016,Asian,15.04
Men,2016,Hispanic or Latino ethnicity,13.83
Men,2017,Total,15.2
Men,2017,White,15.79
Men,2017,Black or African American,13.34
Men,2017,Asian,16.65
Men,2017,Hispanic or Latino ethnicity,14.37
Men,2018,Total,16.01
Men,2018,White,16.53
Men,2018,Black or African American,14.22
Men,2018,Asian,16.69
Men,2018,Hispanic or Latino ethnicity,15.01
Men,2019,Total,16.76
Men,2019,White,17.1
Men,2019,Black or African American,14.98
Men,2019,Asian,17.22
Men,2019,Hispanic or Latino ethnicity,15.25
Men,2020,Total,17.75
Men,2020,White,17.98
Men,2020,Black or African American,15.88
Men,2020,Asian,18.04
Men,2020,Hispanic or Latino ethnicity,16.24
Men,2021,Total,18.05
Men,2021,White,18.48
Men,2021,Black or African American,16.12
Men,2021,Asian,19.05
Men,2021,Hispanic or Latino ethnicity,17.03
Men,2022,Total,19.7
Men,2022,White,19.88
Men,2022,Black or African American,17.78
Men,2022,Asian,20.13
Men,2022,Hispanic or Latino ethnicity,18.18
Men,2023,Total,20.16
Men,2023,White,20.64
Men,2023,Black or African American,18.8
Men,2023,Asian,21.41
Men,2023,Hispanic or Latino ethnicity,19.38
Men,2024,Total,21.06
Men,2024,White,21.74
Men,2024,Black or African American,19.77
Men,2024,Asian,22.22
Men,2024,Hispanic or Latino ethnicity,19.99
